value;language
Grigor Dimitrov;en
Kei Nishikori;en
Milos Raonic;en
Stanislas Wawrinka;en
Rafael Nadal;en
Dominic Thiem;en
Jordan Thompson;en
Kyle Edmund;en
Diego Sebastian Schwartzman;en
Mischa Zverev;en
Samuel Groth;en
Nicolas Mahut;en
David Ferrer;en
Jared Donaldson;en
Lucas Pouille;en
Viktor Troicki;en
Roberto Bautista Agut;en
Daniil Medvedev;en
Dudi Sela;en
Benoit Paire;en
Jozef Kovalik;en
Albert Ramos;en
Aljaz Bedene;en
Mikhail Youzhny;en
Yen Hsun Lu;en
Steve Darcis;en
Hyeon Chung;en
Yuki Bhambri;en
Renzo Olivo;en
Rogerio Dutra Silva;en
Novak Djokovic;en
Andy Murray;en
Tomas Berdych;en
Fernando Verdasco;en
Nicolas Almagro;en
Jo Wilfried Tsonga;en
Ivo Karlovic;en
Radek Stepanek;en
Gerald Melzer;en
Philipp Kohlschreiber;en
Jiri Vesely;en
Dustin Brown;en
Karen Khachanov;en
David Goffin;en
Arthur De Greef;en
Horacio Zeballos;en
Jack Sock;en
Joao Sousa;en
Marcos Baghdatis;en
Steve Johnson;en
Robin Haase;en
Jeremy Chardy;en
John Isner;en
Brydan Klein;en
Feliciano Lopez;en
Ryan Harrison;en
Malek Jaziri;en
Gilles Muller;en
Daniel Evans;en
Andrey Kuznetsov;en
Pablo Carreno Busta;en
Pablo Cuevas;en
Gastao Elias;en
Marcel Granollers;en
Alex De Minaur;en
Paolo Lorenzi;en
Matthew Barton;en
Andrey Rublev;en
Sam Querrey;en
Alexander Bublik;en
Noah Rubin;en
Roger Federer;en
Lukas Lacko;en
Andreas Seppi;en
Nick Kyrgios;en
Dusan Lajovic;en
Bernard Tomic;en
Victor Estrella;en
Marin Cilic;en
Gael Monfils;en
Alexandr Dolgopolov;en
Donald Young;en
Alexander Zverev;en
Francis Tiafoe;en
Yoshihito Nishioka;en
Ernesto Escobedo;en
Gilles Simon;en
Fabio Fognini;en
Andrew Whittington;en
Carlos Berlocq;en
Richard Gasquet;en
Denis Istomin;en
